lingq_id,term,fragment,hint,status,extended_status,tags,importance,last_studied_correct,first_seen,last_synced
633770686,weg,"Nicos Weg– A 1– Folge 1:…",,0,0,noun;adverb,3,,2026-05-18,2026-05-18
633770764,folge,"…Nicos Weg– A 1– Folge 1: Hallo!",,2,0,verb;präsens;noun;ich;folgen;nachfolgen,3,,2026-05-18,2026-05-18
633770823,auf,"Auf dem Flughafen.)",,3,0,preposition;noun,3,,2026-05-18,2026-05-18
633770835,flughafen,"…Auf dem Flughafen.)",,2,0,noun,2,,2026-05-18,2026-05-18
633770897,morgen,"…Sprecherin1:] Guten Morgen, Herr Müller, wie geht…",,0,0,noun;adverb,3,,2026-05-18,2026-05-18
633771129,guten,"…Sprecherin1:] Guten Morgen, Herr Müller, wie…",,3,0,noun;adjective,3,,2026-05-18,2026-05-18
633771803,schön,"…Emma:] Oh, schön!",,0,0,adjective;adverb,3,,2026-05-18,2026-05-18
633771940,tasche,"…Emma:] Die Tasche ist schön!",,0,0,noun,2,,2026-05-18,2026-05-18
633771999,entschuldigung,"…Nico:] Entschuldigung? Schön?",,0,0,noun,2,,2026-05-18,2026-05-18
633772666,problem,"…1– Folge 2: Kein Problem!",,3,0,noun,3,,2026-05-18,2026-05-18
633772946,mist,"…Emma:] Mist!",,0,0,noun,0,,2026-05-18,2026-05-18
633773136,angekommen,"…Ja, ich bin gut angekommen…",,2,0,adjective;adverb,2,,2026-05-18,2026-05-18
633773242,unterlagen,"Du kannst mir die Unterlagen für das Meeting im…",,0,0,noun,1,,2026-05-18,2026-05-18
633773325,zentrum,"…Taxifahrgast:] Ins Zentrum, bitte. Zum Königshof.",,2,0,noun,2,,2026-05-18,2026-05-18
633773411,restaurant,"Ins Restaurant Königshof oder zum Hotel…",,3,0,noun,2,,2026-05-18,2026-05-18
633773891,tschüss,"…A 1– Folge 3: Tschüss!",,0,0,noun;adjective,1,,2026-05-18,2026-05-18
633774041,reise,"Gute Reise!",,3,0,verb;reisen;präsens;noun;ich;ausreisen;anreisen;einreisen;abreisen,3,,2026-05-18,2026-05-18
