lesson_id,course_id,title,language,audio_url,words_count,unknown_count,source_local,first_seen,last_synced
39528,,"Reinhards Hobbys",de,,,2196,,2026-05-24,2026-05-24
59625,39528,"Der Anfang: Sammeln",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/resources/contents/audio/2009/08/28/hobbys_03_samme.1e94e8bbd76.mp3,,123,,2026-05-24,2026-05-24
519499,,"DW Nachrichten [Audio+Transkript] (newest on bottom)",de,,,4769,,2026-05-24,2026-05-24
532674,,"Nicos Weg A2",de,,,2127,,2026-05-24,2026-05-24
542016,,"Easy German",de,,,10501,,2026-05-24,2026-05-24
553021,,"Nicos Weg B1",de,,,2392,,2026-05-24,2026-05-24
808220,,"Faust - Goethe (das Volksbuch (B1)",de,,,1280,,2026-05-24,2026-05-24
828258,,"Emil und die Detektive",de,,,1816,,2026-05-24,2026-05-24
877075,,"Nicos Weg - A1",de,,,1430,,2026-05-24,2026-05-24
989898,,"Die Nachbarn",de,,,793,,2026-05-24,2026-05-24
1019491,,Tagesschau,de,,,30510,,2026-05-24,2026-05-24
1122003,,"Wolfgang Borchert: Nachts schlafen die Ratten doch",de,,,1236,,2026-05-24,2026-05-24
1228549,,"Sherlock Holmes - Der Hund der Baskervilles",de,,,7902,,2026-05-24,2026-05-24
1328274,,"Baron von Münchhausen (Graded Reader)",de,,,1596,,2026-05-24,2026-05-24
1328387,,"Effi Briest (Graded Reader)",de,,,1965,,2026-05-24,2026-05-24
1481111,,"A2 - German - Elementary Dialogues",de,,,1615,,2026-05-24,2026-05-24
1666623,,CULTURE,de,,,14392,,2026-05-24,2026-05-24
1696460,,B2+,de,,,4565,,2026-05-24,2026-05-24
2013160,,Kindermärchen,de,,,18672,,2026-05-24,2026-05-24
2122932,,"Quick Imports",de,,,1184,,2026-05-24,2026-05-24
2134209,,"Linie - B1",de,,,817,,2026-05-24,2026-05-24
2138497,,"DTZ Đề mẫu",de,,,1072,,2026-05-24,2026-05-24
2138681,,"Nhật ký",de,,,161,,2026-05-24,2026-05-24
2138923,,"My Simplified Lessons (AI)",de,,,106,,2026-05-24,2026-05-24
2139238,,"DTZ Sprechen Teil 3",de,,,587,,2026-05-24,2026-05-24
2143272,,Netflix,de,,,3245,,2026-05-24,2026-05-24
2145073,,"DTZ Sprechen Teil 1",de,,,222,,2026-05-24,2026-05-24
2148993,,"PRÜFUNGSTRAINING DTZ",de,,,81,,2026-05-24,2026-05-24
2149682,,"Leben in Deutschland",de,,,1165,,2026-05-24,2026-05-24
2152050,,Email,de,,,47,,2026-05-24,2026-05-24
2153576,,"DTZ Sprechen Teil 2",de,,,913,,2026-05-24,2026-05-24
2169238,,"S136- Christliche_Feste_LingQ",de,,,148,,2026-05-24,2026-05-24
2188522,,"DTZ Schreiben",de,,,232,,2026-05-24,2026-05-24
2206701,,"Zeit Online 2",de,,,116,,2026-05-24,2026-05-24
2206712,,"Tages-Anzeiger (Switzerland)",de,,,114,,2026-05-24,2026-05-24
2253839,,"Chi - DTZ",de,,,1152,,2026-05-24,2026-05-24
2303576,,"Langsam Gesprochene Nachrichten 2025",de,,,8178,,2026-05-24,2026-05-24
2451313,,eTraning.de,de,,,189,,2026-05-24,2026-05-24
2451643,,"Erfolg DTZ",de,,,550,,2026-05-24,2026-05-24
2470569,,"Deutsch lernen durch Hören",de,,,117,,2026-05-24,2026-05-24
2470958,,"Learn German by Listening",de,,,268,,2026-05-24,2026-05-24
2583976,,"Prüfungstraining DTZ",de,,,29,,2026-05-24,2026-05-24
2596652,,primevideo.com,de,,,2961,,2026-05-24,2026-05-24
2746438,,tiktok.com,de,,,164,,2026-05-24,2026-05-24
3007938,519499,"31. 10. 2019",de,https://radiodownloaddw-a.akamaihd.net/Events/dwelle/dira/mp3/deutschkurse/nachrichten_live/361D4020_2_dwdownload.mp3,,276,,2026-05-24,2026-05-24
3092303,532674,"Nicos Weg – A2 – A1 Rückblick",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg_-_A1_R%C3%BCckblick.1aded28d9b54.mp3,,112,,2026-05-24,2026-05-24
3102353,532674,"Nicos Weg – A2 – Folge 1 - Lebenslinien",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_1.61f9d5f7d058.mp3,,59,,2026-05-24,2026-05-24
3105728,532674,"Nicos Weg – A2 – Folge 2 - Angekommen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_2.e0d8f8f0f589.mp3,,94,,2026-05-24,2026-05-24
3105757,532674,"Nicos Weg – A2 – Folge 3 - Pläne machen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_3.34a3e8b9b938.mp3,,44,,2026-05-24,2026-05-24
3105767,532674,"Nicos Weg – A2 – Folge 4 - Sprichst du Deutsch?",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_4.d38c56b976d2.mp3,,87,,2026-05-24,2026-05-24
3108325,532674,"Nicos Weg – A2 – Folge 5 - Geld ist für mich …",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_5.6a5638509d94.mp3,,64,,2026-05-24,2026-05-24
3108410,532674,"Nicos Weg – A2 – Folge 6 - Mein Bankkonto",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_6.4ab29a50d6dd.mp3,,66,,2026-05-24,2026-05-24
3108442,532674,"Nicos Weg – A2 – Folge 7 - Rechnungen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_7.698271b23f2d.mp3,,49,,2026-05-24,2026-05-24
3108458,532674,"Nicos Weg – A2 – Folge 8 - Am Bankautomaten",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_8.acffcc6519b1.mp3,,79,,2026-05-24,2026-05-24
3111298,532674,"Nicos Weg – A2 – Folge 9 - Familiengeschichten",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_9.1ea2161faf09.mp3,,56,,2026-05-24,2026-05-24
3111312,532674,"Nicos Weg – A2 – Folge 10 - Personen beschreiben",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_10.4536691228d9.mp3,,111,,2026-05-24,2026-05-24
3111340,532674,"Nicos Weg – A2 – Folge 11 - Generationen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_11.5e4e39e93dc1.mp3,,62,,2026-05-24,2026-05-24
3111350,532674,"Nicos Weg – A2 – Folge 12 - Alten- und Pflegeheim",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_12.460bf9f8b21b.mp3,,71,,2026-05-24,2026-05-24
3113346,532674,"Nicos Weg – A2 – Folge 13 - Wohngemeinschaft",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_13.dd67e9733de8.mp3,,91,,2026-05-24,2026-05-24
3113366,532674,"Nicos Weg – A2 – Folge 14 - Nachbarschaft",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_14.cfa3f5048a71.mp3,,88,,2026-05-24,2026-05-24
3113374,532674,"Nicos Weg – A2 – Folge 15 - Kinder",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_15.42124679bc01.mp3,,72,,2026-05-24,2026-05-24
3113382,532674,"Nicos Weg – A2 – Folge 16 - Anders als ihr",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_16.e974c0129589.mp3,,89,,2026-05-24,2026-05-24
3125923,532674,"Nicos Weg – A2 – Folge 17 - Unterwegs",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_17.7f0960f4dc28.mp3,,69,,2026-05-24,2026-05-24
3125931,532674,"Nicos Weg – A2 – Folge 18 - Im Hotel",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_18.efd3083c665a.mp3,,70,,2026-05-24,2026-05-24
3125933,532674,"Nicos Weg – A2 – Folge 19 - Bahnreisen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_19.ca742ee1bff5.mp3,,101,,2026-05-24,2026-05-24
3126010,532674,"Nicos Weg – A2 – Folge 20 - Der Ticketautomat",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_20.9c81cb07033a.mp3,,65,,2026-05-24,2026-05-24
3131731,532674,"Nicos Weg – A2 – Folge 21 - Alltag und Freizeit",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_21.77884fda58d7.mp3,,78,,2026-05-24,2026-05-24
3131749,532674,"Nicos Weg – A2 – Folge 22 - Freizeitstress",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_22.f6c33a9272ac.mp3,,103,,2026-05-24,2026-05-24
3131842,532674,"Nicos Weg – A2 – Folge 23 - Das hört sich gut an!",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_23.f6a9d752d4dd.mp3,,91,,2026-05-24,2026-05-24
3131888,532674,"Nicos Weg – A2 – Folge 24 - Das meinen Sie nicht ernst!",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_24.abc3e081dc7e.mp3,,94,,2026-05-24,2026-05-24
3136801,532674,"Nicos Weg – A2 – Folge 25 - Das macht mir Spaß!",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_25.a2d62f84f241.mp3,,73,,2026-05-24,2026-05-24
3136827,532674,"Nicos Weg – A2 – Folge 26 - Im Verein",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_26.b8cd432a36a1.mp3,,103,,2026-05-24,2026-05-24
3136854,532674,"Nicos Weg – A2 – Folge 27 - Das macht mir Sorgen!",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_27.ed6a9ac28b55.mp3,,73,,2026-05-24,2026-05-24
3136876,532674,"Nicos Weg – A2 – Folge 28 - Das ist mir wichtig!",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_28.bd7386e19e70.mp3,,94,,2026-05-24,2026-05-24
3149173,532674,"Nicos Weg – A2 – Folge 29 - Immer und überall",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_29.b26da381cd0d.mp3,,84,,2026-05-24,2026-05-24
3149200,532674,"Nicos Weg – A2 – Folge 30 - Das Internet",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_30.4bf6144e0255.mp3,,105,,2026-05-24,2026-05-24
3149409,532674,"Nicos Weg – A2 – Folge 31 - Mit freundlichen Grüßen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_31.85f206a106a6.mp3,,68,,2026-05-24,2026-05-24
3149434,532674,"Nicos Weg – A2 – Folge 32 - Reklamation",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_32.b2e50fcc4a94.mp3,,88,,2026-05-24,2026-05-24
3155604,532674,"Nicos Weg – A2 – Folge 33 - Essen gehen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_33.6eeceaf8bb54.mp3,,112,,2026-05-24,2026-05-24
3157594,532674,"Nicos Weg – A2 – Folge 34 - Die Karte, bitte!",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_34.1ea9d852f412.mp3,,119,,2026-05-24,2026-05-24
3157927,532674,"Nicos Weg – A2 – Folge 35 - Was darf es sein?",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_35.317144e5b00c.mp3,,108,,2026-05-24,2026-05-24
3158173,532674,"Nicos Weg – A2 – Folge 36",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_36.d56c780f4968.mp3,,114,,2026-05-24,2026-05-24
3158183,532674,"Nicos Weg – A2 – Folge 37",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_37.9a4bdc1fabb0.mp3,,113,,2026-05-24,2026-05-24
3158202,532674,"Nicos Weg – A2 – Folge 38",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_38.8273cda6c052.mp3,,86,,2026-05-24,2026-05-24
3158216,532674,"Nicos Weg – A2 – Folge 39",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_39.9befa53515cc.mp3,,81,,2026-05-24,2026-05-24
3158238,532674,"Nicos Weg – A2 – Folge 40",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_40.52acf409ddc6.mp3,,88,,2026-05-24,2026-05-24
3165737,532674,"Nicos Weg – A2 – Folge 41",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_41.bb7f4cb79e12.mp3,,111,,2026-05-24,2026-05-24
3165753,532674,"Nicos Weg – A2 – Folge 42",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_42.f1128ddc61dd.mp3,,101,,2026-05-24,2026-05-24
3165802,532674,"Nicos Weg – A2 – Folge 43",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Nicos_Weg__A2__Folge_43.79d8047b4ccf.mp3,,86,,2026-05-24,2026-05-24
