Từ tiếng Đức,Nghĩa tiếng Việt
übersehen,bỏ sót
übersehen,không nhận ra
vermieten,cho thuê
Trubel,sự nhộn nhịp
Trubel,sự tất bật
jedoch,tuy nhiên
zugänglich,có thể tiếp cận
zugänglich,có thể vào được
umleiten,chuyển hướng
umleiten,đổi tuyến
umsteigen,đổi chuyến
umsteigen,chuyển tuyến
fast windstill,gần như lặng gió
Wartungsarbeiten,công việc bảo trì
Wasserleitung,đường ống nước
erreichbar,có thể liên lạc được
erreichbar,có mặt để tiếp cận
hinterlegen,gửi lại
hinterlegen,để lại
hinterlegen,ký gửi
Kellerabteil,ngăn/khoang hầm riêng
Kellergang,hành lang tầng hầm
Fluchtweg,lối thoát hiểm
zusammenfalten,gấp gọn
zusammenfalten,gập lại
Sperrmüllservice,dịch vụ thu gom rác cồng kềnh
Abholtermin,lịch hẹn lấy/thu gom
Stellenanzeige,tin tuyển dụng
Stellenanzeige,thông báo tuyển việc
Verstärkung,nhân sự bổ sung
Verstärkung,người hỗ trợ thêm
sich um eine Stelle bewerben,ứng tuyển vào một vị trí
