# schema_version: 2026-05-18_v1
# columns: wort, wortart, artikel, mistake_count, last_mistake_date, related_rule, related_mistakes_log_entries, status
# wortart enum: Substantiv | Verb | Adjektiv | Adverb | Pronomen | Präposition | Konjunktion | Numerale | Interjektion
# artikel enum: der | die | das | (rỗng nếu không phải Substantiv)
# status enum: active | mastered | dropped
# Append-only. Update mistake_count + last_mistake_date + status.
wort,wortart,artikel,mistake_count,last_mistake_date,related_rule,related_mistakes_log_entries,status
Blick,Substantiv,der,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Zubehör,Substantiv,das,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Lautsprecher,Substantiv,der,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Heimkino-System,Substantiv,das,1,2026-05-24,Lesen 1.1 Center Solaris — compound: Heim + Kino + System,,active
Verlängerungskabel,Substantiv,das,1,2026-05-24,Lesen 1.1 — compound: Verlängerung + Kabel,,active
Ladegerät,Substantiv,das,1,2026-05-24,Lesen 1.1 — compound: laden + Gerät,,active
Heimwerken,Substantiv,das,1,2026-05-24,Lesen 1.1 — nominalisiertes Verb (heimwerken),,active
Haushaltsware,Substantiv,die,1,2026-05-24,Lesen 1.1 — thường dùng plural Haushaltswaren,,active
Kochtopf,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: kochen + Topf,,active
Pfanne,Substantiv,die,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Küchenhelfer,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Küche + Helfer,,active
Handtuch,Substantiv,das,1,2026-05-24,Lesen 1.1 — compound: Hand + Tuch,,active
Bademantel,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: baden + Mantel,,active
Duschvorhang,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Dusche + Vorhang,,active
Porzellan,Substantiv,das,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Geschirr,Substantiv,das,1,2026-05-24,Lesen 1.1 — uncountable thường ở dạng số ít,,active
Teekanne,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Tee + Kanne,,active
Tasse,Substantiv,die,1,2026-05-24,Lesen 1.1 — phân biệt với Becher (cốc không quai),,active
Leuchte,Substantiv,die,1,2026-05-24,Lesen 1.1 — đèn (đồ vật phát sáng); phân biệt với Lampe,,active
Stehlampe,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: stehen + Lampe,,active
Bettware,Substantiv,die,1,2026-05-24,Lesen 1.1 — thường dùng plural Bettwaren,,active
Bettdecke,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Bett + Decke,,active
Kissen,Substantiv,das,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Matratzenauflage,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Matratze + Auflage,,active
Heimwerkerbedarf,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Heimwerker + Bedarf,,active
Werkzeug,Substantiv,das,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Schraube,Substantiv,die,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Dübel,Substantiv,der,1,2026-05-24,Lesen 1.1 — đồ gắn tường để bắt vít,,active
Reparaturset,Substantiv,das,1,2026-05-24,Lesen 1.1 — compound: Reparatur + Set,,active
Anzug,Substantiv,der,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Hemd,Substantiv,das,1,2026-05-24,Lesen 1.1 — phân biệt với T-Shirt,,active
Sneaker,Substantiv,der,1,2026-05-24,Lesen 1.1 — Anglizismus,,active
Herrenwäsche,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Herren + Wäsche,,active
Unterwäsche,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: unter + Wäsche,,active
Socke,Substantiv,die,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Schlafanzug,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: schlafen + Anzug,,active
Anzugzubehör,Substantiv,das,1,2026-05-24,Lesen 1.1 — compound: Anzug + Zubehör,,active
Krawatte,Substantiv,die,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Gürtel,Substantiv,der,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Manschettenknopf,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Manschette + Knopf,,active
Geschenkservice,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Geschenk + Service,,active
Geschenkverpackung,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Geschenk + Verpackung,,active
Grußkarte,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Gruß + Karte,,active
Wäsche,Substantiv,die,1,2026-05-24,Lesen 1.1 — đa nghĩa: đồ lót / đồ giặt,,active
