stt,bai,chu_de,url,sheet
1,1.1,ICE 577 nach Köln,https://deutsch-vorbereitung.com/en/uebung-14234.html,Horen
2,1.2,Jobmesse,https://deutsch-vorbereitung.com/en/uebung-14233.html,Horen
3,1.3,Transportmöglichkeiten aufgrund von Wartungsarbeiten,https://deutsch-vorbereitung.com/en/uebung-3880.html,Horen
4,1.4,Anmeldung zur Mitgliedschaft im Fitnessstudio,https://deutsch-vorbereitung.com/en/uebung-3879.html,Horen
5,1.5,Hinweis zur Anmeldung für den Sprachkurs im neuen Semester,https://deutsch-vorbereitung.com/en/uebung-3878.html,Horen
6,1.6,Wettervorhersage für Spanien,https://deutsch-vorbereitung.com/en/uebung-3877.html,Horen
7,1.7,Informationen zum Veranstaltungskalender im Kulturzentrum,https://deutsch-vorbereitung.com/en/uebung-3876.html,Horen
8,1.8,Informationen zur verlängerten Öffnungszeit der Stadtbibliothek,https://deutsch-vorbereitung.com/en/uebung-3875.html,Horen
9,1.9,Informationen zum Buchungsservice des Fitnessstudios Fit\&Gesund,https://deutsch-vorbereitung.com/en/uebung-3874.html,Horen
10,1.10,Informationen zum gefundenen Gegenstand im Supermarkt,https://deutsch-vorbereitung.com/en/uebung-3873.html,Horen
11,1.11,Hinweise für Gäste im Schwimmbad,https://deutsch-vorbereitung.com/en/uebung-3872.html,Horen
12,1.12,Hinweise im Supermarkt,https://deutsch-vorbereitung.com/en/uebung-3871.html,Horen
13,1.13,Informationen für Reisende am Bahnhof,https://deutsch-vorbereitung.com/en/uebung-3870.html,Horen
14,1.14,Hinweise für Gäste im Hotel,https://deutsch-vorbereitung.com/en/uebung-3869.html,Horen
15,1.15,Ankündigung,https://deutsch-vorbereitung.com/en/uebung-3868.html,Horen
16,1.16,Ihr Hund ist sehr krank,https://deutsch-vorbereitung.com/en/uebung-3839.html,Horen
17,1.17,Anton hat ein Problem,https://deutsch-vorbereitung.com/en/uebung-2882.html,Horen
18,1.18,Imbiss,https://deutsch-vorbereitung.com/en/uebung-2881.html,Horen
19,1.19,Zahnarztpraxis Dr. Müller,https://deutsch-vorbereitung.com/en/uebung-2824.html,Horen
20,1.20,Bürgerbüro\_Führerschein,https://deutsch-vorbereitung.com/en/uebung-2823.html,Horen
21,1.21,XYZ-Bank,https://deutsch-vorbereitung.com/en/uebung-2822.html,Horen
22,1.22,Der Intercity-Zug nach Berlin,https://deutsch-vorbereitung.com/en/uebung-2821.html,Horen
23,1.23,Anfrage,https://deutsch-vorbereitung.com/en/uebung-2645.html,Horen
24,1.24,Notdienst Apotheke,https://deutsch-vorbereitung.com/en/uebung-2644.html,Horen
25,1.25,Cafe-Restaurant,https://deutsch-vorbereitung.com/en/uebung-1999.html,Horen
26,1.26,Stadtmitte,https://deutsch-vorbereitung.com/en/uebung-1998.html,Horen
27,1.27,Der Intercity 348,https://deutsch-vorbereitung.com/en/uebung-1997.html,Horen
28,1.28,Bürgerbüro,https://deutsch-vorbereitung.com/en/uebung-1996.html,Horen
29,1.29,Anrufbeantworter,https://deutsch-vorbereitung.com/en/uebung-1995.html,Horen
30,1.30,InvestMax,https://deutsch-vorbereitung.com/en/uebung-1994.html,Horen
31,1.31,Baufirma,https://deutsch-vorbereitung.com/en/uebung-1993.html,Horen
32,1.32,FinanzenExpert,https://deutsch-vorbereitung.com/en/uebung-1992.html,Horen
33,1.33,Der Check-in-Schalter,https://deutsch-vorbereitung.com/en/uebung-1991.html,Horen
34,1.34,Universität,https://deutsch-vorbereitung.com/en/uebung-1990.html,Horen
35,1.35,LinguaMax,https://deutsch-vorbereitung.com/en/uebung-1989.html,Horen
36,1.36,Dortmunder Bahnhof,https://deutsch-vorbereitung.com/en/uebung-1988.html,Horen
37,1.37,Anwaltskanzlei,https://deutsch-vorbereitung.com/en/uebung-1987.html,Horen
38,1.38,Romeo und Julia,https://deutsch-vorbereitung.com/en/uebung-1986.html,Horen
39,1.39,DriveEasy,https://deutsch-vorbereitung.com/en/uebung-1985.html,Horen
40,1.40,Operationssaal,https://deutsch-vorbereitung.com/en/uebung-1984.html,Horen
41,1.41,Reisebüro,https://deutsch-vorbereitung.com/en/uebung-1983.html,Horen
42,1.42,DreamTravel,https://deutsch-vorbereitung.com/en/uebung-1981.html,Horen
43,1.43,Einkaufszentrum,https://deutsch-vorbereitung.com/en/uebung-1980.html,Horen
44,1.44,Café Sonnenschein,https://deutsch-vorbereitung.com/en/uebung-1979.html,Horen
45,1.45,Der Zug nach Berlin,https://deutsch-vorbereitung.com/en/uebung-1978.html,Horen
46,1.46,Angebote,https://deutsch-vorbereitung.com/en/uebung-1976.html,Horen
47,1.47,Achtung,https://deutsch-vorbereitung.com/en/uebung-1975.html,Horen
48,1.48,Fit\&Gesund,https://deutsch-vorbereitung.com/en/uebung-1974.html,Horen
49,1.49,Samstag,https://deutsch-vorbereitung.com/en/uebung-1973.html,Horen
50,1.50,HeimwerkerParadies,https://deutsch-vorbereitung.com/en/uebung-1972.html,Horen
51,1.51,ExpressPaket,https://deutsch-vorbereitung.com/en/uebung-1971.html,Horen
52,1.52,Neue Maßnahmen,https://deutsch-vorbereitung.com/en/uebung-1970.html,Horen
53,1.53,Wettervorhersage für heute,https://deutsch-vorbereitung.com/en/uebung-1969.html,Horen
54,1.54,Wettervorhersage,https://deutsch-vorbereitung.com/en/uebung-1927.html,Horen
55,1.55,Elektrowerkstatt Meier & Co,https://deutsch-vorbereitung.com/en/uebung-1926.html,Horen
56,1.56,Werkstatt Schmidt & Sohn,https://deutsch-vorbereitung.com/en/uebung-1925.html,Horen
57,1.57,BKK-Versicherung,https://deutsch-vorbereitung.com/en/uebung-1924.html,Horen
58,1.58,Durchsage,https://deutsch-vorbereitung.com/en/uebung-1923.html,Horen
59,1.59,Weg zu einem Freund,https://deutsch-vorbereitung.com/en/uebung-1922.html,Horen
60,1.60,Flughafen,https://deutsch-vorbereitung.com/en/uebung-1921.html,Horen
61,1.61,Aufruf,https://deutsch-vorbereitung.com/en/uebung-1920.html,Horen
62,1.62,Kaiser Platz,https://deutsch-vorbereitung.com/en/uebung-1919.html,Horen
63,1.63,Der Junge und der Reiher,https://deutsch-vorbereitung.com/en/uebung-1918.html,Horen
64,1.64,Möbelhaus Müller,https://deutsch-vorbereitung.com/en/uebung-1917.html,Horen
65,1.65,Firma Komfi-Elektrik,https://deutsch-vorbereitung.com/en/uebung-1916.html,Horen
66,1.66,City-Immobilien,https://deutsch-vorbereitung.com/en/uebung-1915.html,Horen
67,1.67,Volkshochschule Dortmund/Nord,https://deutsch-vorbereitung.com/en/uebung-1914.html,Horen
68,1.68,Arzt benötigen,https://deutsch-vorbereitung.com/en/uebung-1913.html,Horen
69,1.69,Hauptbahnhof 2,https://deutsch-vorbereitung.com/en/uebung-1912.html,Horen
70,1.70,Orthopäde,https://deutsch-vorbereitung.com/en/uebung-1911.html,Horen
71,1.71,Anrufbeantworter des Bürgeramts Dortmund,https://deutsch-vorbereitung.com/en/uebung-1910.html,Horen
72,1.72,Karten an der Kasse,https://deutsch-vorbereitung.com/en/uebung-1909.html,Horen
73,1.73,Elternsprechtag,https://deutsch-vorbereitung.com/en/uebung-1908.html,Horen
74,1.74,Busbahnhof,https://deutsch-vorbereitung.com/en/uebung-1907.html,Horen
75,1.75,Woche mit Spezialitäten aus Spanien,https://deutsch-vorbereitung.com/en/uebung-1906.html,Horen
76,1.76,Kundenkarte,https://deutsch-vorbereitung.com/en/uebung-1905.html,Horen
77,1.77,Agentur für Arbeit,https://deutsch-vorbereitung.com/en/uebung-1904.html,Horen
78,1.78,Hauptbahnhof,https://deutsch-vorbereitung.com/en/uebung-1903.html,Horen
79,1.79,Versichertenkarte,https://deutsch-vorbereitung.com/en/uebung-1901.html,Horen
