stt,bai,chu_de,url,teil,teil_desc
1,1.1,Center Solaris – Übersicht der Etagen,https://deutsch-vorbereitung.com/en/uebung-13345.html,1,Teil 1 – Wegweiser/Übersichten
2,1.2,Verschiedene Kurse an einer Bildungseinrichtung,https://deutsch-vorbereitung.com/en/uebung-13344.html,1,Teil 1 – Wegweiser/Übersichten
3,1.3,Solaris Online-Kaufhaus,https://deutsch-vorbereitung.com/en/uebung-13343.html,1,Teil 1 – Wegweiser/Übersichten
4,1.4,"Online-Mediathek „VideoGalaxy""",https://deutsch-vorbereitung.com/en/uebung-13342.html,1,Teil 1 – Wegweiser/Übersichten
5,1.5,Kultur- und Freizeitfest,https://deutsch-vorbereitung.com/en/uebung-13341.html,1,Teil 1 – Wegweiser/Übersichten
6,1.6,Geschichte Europas,https://deutsch-vorbereitung.com/en/uebung-13340.html,1,Teil 1 – Wegweiser/Übersichten
7,1.7,"Online-Katalog von „Haus & Lifestyle""",https://deutsch-vorbereitung.com/en/uebung-13339.html,1,Teil 1 – Wegweiser/Übersichten
8,1.8,Musikfestival Tomorrowland,https://deutsch-vorbereitung.com/en/uebung-13338.html,1,Teil 1 – Wegweiser/Übersichten
9,1.9,Kulturfestival,https://deutsch-vorbereitung.com/en/uebung-13337.html,1,Teil 1 – Wegweiser/Übersichten
10,1.10,Kursprogramm der VHS Solaris,https://deutsch-vorbereitung.com/en/uebung-13336.html,1,Teil 1 – Wegweiser/Übersichten
11,1.11,Stadtmagazin Solaris,https://deutsch-vorbereitung.com/en/uebung-13335.html,1,Teil 1 – Wegweiser/Übersichten
12,1.12,IKEA – Katalogübersicht,https://deutsch-vorbereitung.com/en/uebung-13334.html,1,Teil 1 – Wegweiser/Übersichten
13,1.13,Katalogübersicht,https://deutsch-vorbereitung.com/en/uebung-13333.html,1,Teil 1 – Wegweiser/Übersichten
14,1.14,Im Bürgerzentrum Ihrer Stadt,https://deutsch-vorbereitung.com/en/uebung-13332.html,1,Teil 1 – Wegweiser/Übersichten
15,1.15,Multishop Europa,https://deutsch-vorbereitung.com/en/uebung-13331.html,1,Teil 1 – Wegweiser/Übersichten
16,1.16,Orientierungstafel – Bibliothek,https://deutsch-vorbereitung.com/en/uebung-13330.html,1,Teil 1 – Wegweiser/Übersichten
17,1.17,Im Kaufhaus Solaris,https://deutsch-vorbereitung.com/en/uebung-13329.html,1,Teil 1 – Wegweiser/Übersichten
18,1.18,Am Hauptbahnhof,https://deutsch-vorbereitung.com/en/uebung-13328.html,1,Teil 1 – Wegweiser/Übersichten
19,1.19,Wegweiser: Galeries Lafayette Berlin,https://deutsch-vorbereitung.com/en/uebung-13326.html,1,Teil 1 – Wegweiser/Übersichten
20,1.20,Wegweiser: Bürger-Service Neuenstadt,https://deutsch-vorbereitung.com/en/uebung-13325.html,1,Teil 1 – Wegweiser/Übersichten
21,1.21,Rathaus Ihrer Stadt – Wegweiser,https://deutsch-vorbereitung.com/en/uebung-13324.html,1,Teil 1 – Wegweiser/Übersichten
22,1.22,Stadtbibliothek – Räume und Angebote,https://deutsch-vorbereitung.com/en/uebung-13323.html,1,Teil 1 – Wegweiser/Übersichten
23,1.23,Fernsehtag im Seniorenheim,https://deutsch-vorbereitung.com/en/uebung-13260.html,1,Teil 1 – Wegweiser/Übersichten
24,1.24,Stadtverwaltung,https://deutsch-vorbereitung.com/en/uebung-13257.html,1,Teil 1 – Wegweiser/Übersichten
25,1.25,Inhaltsverzeichnis – Orientierung am Flughafen,https://deutsch-vorbereitung.com/en/uebung-13255.html,1,Teil 1 – Wegweiser/Übersichten
26,1.26,Inhaltsverzeichnis – Leben in Deutschland,https://deutsch-vorbereitung.com/en/uebung-13254.html,1,Teil 1 – Wegweiser/Übersichten
27,1.27,Bürgerzentrum – Etagenübersicht,https://deutsch-vorbereitung.com/en/uebung-13253.html,1,Teil 1 – Wegweiser/Übersichten
28,1.28,Bibliothek – Zentral Wegweiser,https://deutsch-vorbereitung.com/en/uebung-13252.html,1,Teil 1 – Wegweiser/Übersichten
29,1.29,Rathaus – Zentralwegweiser,https://deutsch-vorbereitung.com/en/uebung-13251.html,1,Teil 1 – Wegweiser/Übersichten
30,1.30,Shop-Übersicht,https://deutsch-vorbereitung.com/en/uebung-13066.html,1,Teil 1 – Wegweiser/Übersichten
1,2.1,Kurse für Senioren,https://deutsch-vorbereitung.com/en/uebung-13374.html,2,Teil 2 – Anzeigen
2,2.2,"Reisen, Jobs und Freizeit in Deutschland",https://deutsch-vorbereitung.com/en/uebung-13373.html,2,Teil 2 – Anzeigen
3,2.3,Sport und Fitness,https://deutsch-vorbereitung.com/en/uebung-13372.html,2,Teil 2 – Anzeigen
4,2.4,Wellness,https://deutsch-vorbereitung.com/en/uebung-13371.html,2,Teil 2 – Anzeigen
5,2.5,Gesunde Ernährung und Freizeit,https://deutsch-vorbereitung.com/en/uebung-13370.html,2,Teil 2 – Anzeigen
6,2.6,Gesunde Ernährung und Wohlbefinden,https://deutsch-vorbereitung.com/en/uebung-13369.html,2,Teil 2 – Anzeigen
7,2.7,"Dienstleistungen, Job und Wohnung",https://deutsch-vorbereitung.com/en/uebung-13368.html,2,Teil 2 – Anzeigen
8,2.8,"Stellenangebote, Nachhilfe und Dienstleistungen im Alltag",https://deutsch-vorbereitung.com/en/uebung-13367.html,2,Teil 2 – Anzeigen
9,2.9,Sommerkurse für Kinder und Jugendliche,https://deutsch-vorbereitung.com/en/uebung-13366.html,2,Teil 2 – Anzeigen
10,2.10,"Möbel, Reparatur, Haushaltsauflösung",https://deutsch-vorbereitung.com/en/uebung-13365.html,2,Teil 2 – Anzeigen
11,2.11,"Ferienjobs, Nebenjobs und Ausbildungen für junge Leute",https://deutsch-vorbereitung.com/en/uebung-13364.html,2,Teil 2 – Anzeigen
12,2.12,Minijobs und Nebenverdienste,https://deutsch-vorbereitung.com/en/uebung-13363.html,2,Teil 2 – Anzeigen
13,2.13,"Immobilien, Renovierung und Anbau",https://deutsch-vorbereitung.com/en/uebung-13362.html,2,Teil 2 – Anzeigen
