web_id,wort,wort_key,bedeutung,wortart,artikel,source_lesson,created_at
1915,Arbeitnehmerinnen,arbeitnehmerinnen,,Substantiv,,4.31,2026-05-30T11:33:40Z
1917,Arbeitskräfte,arbeitskräfte,,,,4.31,2026-05-30T11:44:18Z
1918,Tätigkeiten,tätigkeiten,,,,4.31,2026-05-30T11:44:37Z
1919,ethische,ethische,,,,4.31,2026-05-30T11:45:00Z
1920,Belegschaft,belegschaft,,,,4.31,2026-05-30T11:45:08Z
1921,Herausforderungen,herausforderungen,,,,4.31,2026-05-30T13:50:53Z
1922,postpandemischen,postpandemischen,,,,4.31,2026-05-30T13:51:14Z
1923,schwerer,schwerer,,,,4.31,2026-05-30T14:23:03Z
1926,höheren,höheren,,,,4.31,2026-05-30T14:28:38Z
1927,hinsichtlich,hinsichtlich,,,,4.31,2026-05-30T14:29:05Z
1929,entwickeln,entwickeln,,,,4.31,2026-05-30T14:32:55Z
1931,Maßnahmen,maßnahmen,,,,4.31,2026-05-30T14:33:15Z
1947,Arbeit,arbeit,,,,4.31,2026-05-30T17:25:22Z
1950,Arbeitszeiten,arbeitszeiten,,,,4.31,2026-05-30T17:25:33Z
1951,automatisiert,automatisiert,,,,4.31,2026-05-30T17:25:36Z
1952,ergreifen,ergreifen,,,,4.31,2026-05-30T17:25:41Z
1953,Fähigkeiten,fähigkeiten,,,,4.31,2026-05-30T17:25:45Z
3894,Albtraum,albtraum,,,,4.30,2026-05-30T18:10:01Z
3895,Ablenkungen,ablenkungen,,,,4.30,2026-05-30T18:10:08Z
3896,überhaupt,überhaupt,,,,4.30,2026-05-30T18:10:28Z
3917,anstrengend,anstrengend,,Adjektiv,,4.2,2026-05-31T04:28:38Z
3918,begeistert,begeistert,,Adjektiv,,4.2,2026-05-31T04:28:49Z
3919,Deswegen,deswegen,,Adverb,,4.2,2026-05-31T04:28:58Z
3920,ehrlich,ehrlich,,Adjektiv,,4.2,2026-05-31T04:29:03Z
3921,Gummistiefel,gummistiefel,,Substantiv,der,4.2,2026-05-31T04:29:10Z
3922,gewöhnen,gewöhnen,,Verb,,4.2,2026-05-31T04:29:14Z
3923,klappen,klappen,,Verb,,4.2,2026-05-31T04:29:22Z
3924,konkret,konkret,,Adjektiv,,4.2,2026-05-31T04:29:28Z
3925,zweieinhalb,zweieinhalb,,Adverb,,4.2,2026-05-31T04:29:41Z
3926,Zwillinge,zwillinge,,Substantiv,die,4.2,2026-05-31T04:29:46Z
5879,experimentiere,experimentiere,,,,4.12,2026-05-31T06:22:31Z
5880,Hörerforum,hörerforum,,,,4.12,2026-05-31T06:22:41Z
5881,genieße,genieße,,,,4.12,2026-05-31T06:22:51Z
5882,Vorlieben,vorlieben,,,,4.12,2026-05-31T06:23:00Z
5883,verschiedene,verschiedene,,,,4.12,2026-05-31T06:23:07Z
5884,traumhaft,traumhaft,,,,4.12,2026-05-31T06:23:15Z
5885,teilgenommen,teilgenommen,,,,4.12,2026-05-31T06:23:21Z
5886,fasziniert,fasziniert,,,,4.12,2026-05-31T06:23:44Z
5898,stammen,stammen,,,,4.11,2026-05-31T06:43:53Z
5899,vermeide,vermeide,,,,4.11,2026-05-31T06:44:01Z
5900,mittlerweile,mittlerweile,,,,4.11,2026-05-31T06:44:22Z
5901,aufwendigere,aufwendigere,,,,4.11,2026-05-31T06:44:30Z
5935,beschränkt,beschränkt,,,,1.106,2026-05-31T08:21:26Z
5936,Sonderausstellung,sonderausstellung,,,,1.106,2026-05-31T08:21:36Z
5937,Thomas,thomas,,,,3.1,2026-05-31T08:22:35Z
5938,Sonnenwinkel,sonnenwinkel,,,, 4.2,2026-05-31T11:41:42Z
5943,Belastungen,belastungen,,,, 4.31,2026-05-31T12:09:06Z
5952,schwiegereltern,schwiegereltern,,Substantiv,,4.2,2026-05-31T17:26:32Z
5953,entlastet,entlastet,,,,4.2,2026-05-31T17:27:18Z
5954,gebracht,gebracht,,,,4.2,2026-05-31T17:30:25Z
5955,geweint,geweint,,,,4.2,2026-05-31T17:30:34Z
5963,verkaufsoffene,verkaufsoffene,,,,4.21,2026-05-31T18:05:06Z
5964,verantwortungsvollen,verantwortungsvollen,,,,4.21,2026-05-31T18:05:12Z
5965,eingeschränkt,eingeschränkt,,,,4.21,2026-05-31T18:05:21Z
5971,sicherstellen,sicherstellen,"đảm bảo; chắc chắn rằng",Verb,,4.21,2026-05-31T18:19:04Z
5972,ausgewogenen,ausgewogenen,cân bằng (biến cách -en),Adjektiv,,4.21,2026-05-31T18:19:06Z
5973,faszinierend,faszinierend,"hấp dẫn; kỳ diệu",Adjektiv,,4.21,2026-05-31T18:19:08Z
5974,Werbebranche,werbebranche,ngành quảng cáo,Substantiv,die,4.21,2026-05-31T18:19:10Z
5975,Auskünfte,auskünfte,thông tin (số nhiều),Substantiv,die,1.2,2026-05-31T18:22:20Z
5981,Bewerbungen,bewerbungen,,Substantiv,,1.2,2026-05-31T18:39:30Z
6000,gleichzeitig,gleichzeitig,,,,4.19,2026-05-31T19:34:47Z
6002,übernimmt,übernimmt,,,,4.2,2026-05-31T22:22:11Z
6003,lüben,lüben,,,,4.2,2026-05-31T22:24:37Z
6004,dankbar,dankbar,,,,4.2,2026-05-31T22:24:43Z
6005,würde,würde,,,,3.9,2026-06-01T06:10:11Z
6006,aufgetreten,aufgetreten,,,,3.25,2026-06-01T06:21:30Z
6007,Angenehmeren,angenehmeren,,,,3.25,2026-06-01T06:21:45Z
6008,Haare,haare,,,,3.25,2026-06-01T06:21:58Z
6009,Knieprobleme,knieprobleme,,,,3.25,2026-06-01T06:22:06Z
6010,Klinik,klinik,,,,3.25,2026-06-01T06:22:12Z
6011,Orthopäden,orthopäden,,,,3.25,2026-06-01T06:22:16Z
6012,schneiden,schneiden,,,,3.25,2026-06-01T06:22:24Z
6013,unangenehm,unangenehm,,,,3.25,2026-06-01T06:22:32Z
6014,Schmerzen,schmerzen,,,,3.25,2026-06-01T06:22:59Z
6015,günstigere,günstigere,,,,3.30,2026-06-01T06:33:05Z
6016,Mahlzeiten,mahlzeiten,,,,3.30,2026-06-01T06:33:13Z
6017,Schmerzmittel,schmerzmittel,,,,3.30,2026-06-01T06:33:18Z
6018,schwächer,schwächer,,,,3.30,2026-06-01T06:33:22Z
6019,verträglich,verträglich,,,,3.30,2026-06-01T06:33:48Z
8068,kinder,kinder,,Substantiv,,2.1,2026-06-01T08:23:47Z
