bai,status,audio_type,has_questions,has_transcript,lingq_lesson_id,audio_url
1.1,need_push_lingq,mp3,yes,yes,**44743345,
1.10,need_push_lingq,mp3,yes,yes,,
1.101,need_push_lingq,mp3,yes,yes,,
1.102,need_push_lingq,mp3,yes,yes,,
1.103,need_push_lingq,mp3,yes,yes,,
1.104,need_push_lingq,mp3,yes,yes,,
1.105,need_push_lingq,mp3,yes,yes,,
1.106,need_push_lingq,mp3,yes,yes,,
1.107,need_push_lingq,mp3,yes,yes,,
1.108,need_convert,mp4_fake,yes,yes,,
1.109,need_push_lingq,mp3,yes,yes,,
1.11,need_push_lingq,mp3,yes,yes,,
1.110,need_convert,mp4_fake,yes,yes,,
1.111,need_convert,mp4_fake,yes,yes,,
1.112,need_push_lingq,mp3,yes,yes,,
1.113,need_push_lingq,mp3,yes,yes,,
1.114,need_push_lingq,mp3,yes,yes,,
1.115,need_push_lingq,mp3,yes,yes,,
1.116,need_push_lingq,mp3,yes,yes,,
1.117,need_push_lingq,mp3,yes,yes,,
1.118,need_push_lingq,mp3,yes,yes,,
1.119,need_push_lingq,mp3,yes,yes,,
1.12,need_push_lingq,mp3,yes,yes,,
1.120,need_push_lingq,mp3,yes,yes,,
1.121,need_push_lingq,mp3,yes,yes,,
1.122,need_push_lingq,mp3,yes,yes,,
1.123,need_push_lingq,mp3,yes,yes,,
1.124,need_push_lingq,mp3,yes,yes,,
1.125,need_push_lingq,mp3,yes,yes,,
1.126,need_push_lingq,mp3,yes,yes,,
1.127,need_push_lingq,mp3,yes,yes,,
1.128,need_push_lingq,mp3,yes,yes,,
1.129,need_push_lingq,mp3,yes,yes,,
1.13,need_push_lingq,mp3,yes,yes,,
1.130,need_push_lingq,mp3,yes,yes,,
1.131,need_push_lingq,mp3,yes,yes,,
1.132,need_push_lingq,mp3,yes,yes,,
1.133,need_push_lingq,mp3,yes,yes,,
1.134,need_push_lingq,mp3,yes,yes,,
1.135,need_push_lingq,mp3,yes,yes,,
1.136,need_push_lingq,mp3,yes,yes,,
1.137,need_push_lingq,mp3,yes,yes,,
1.138,need_push_lingq,mp3,yes,yes,,
1.139,need_push_lingq,mp3,yes,yes,,
1.14,need_push_lingq,mp3,yes,yes,,
1.140,need_push_lingq,mp3,yes,yes,,
1.141,need_push_lingq,mp3,yes,yes,,
1.142,need_push_lingq,mp3,yes,yes,,
1.143,need_push_lingq,mp3,yes,yes,,
1.144,need_push_lingq,mp3,yes,yes,,
1.145,need_push_lingq,mp3,yes,yes,,
1.146,need_push_lingq,mp3,yes,yes,,
1.147,need_push_lingq,mp3,yes,yes,,
1.15,need_push_lingq,mp3,yes,yes,,
1.16,need_push_lingq,mp3,yes,yes,,
1.17,need_push_lingq,mp3,yes,yes,,
1.18,need_push_lingq,mp3,yes,yes,,
1.19,need_push_lingq,mp3,yes,yes,,
1.2,need_push_lingq,mp3,yes,yes,,
1.20,no_audio,missing,yes,yes,,
1.21,no_audio,missing,yes,yes,,
1.22,no_audio,missing,yes,yes,,
1.23,no_audio,missing,yes,yes,,
1.24,no_audio,missing,yes,yes,,
1.25,need_push_lingq,mp3,yes,yes,,
1.26,need_push_lingq,mp3,yes,yes,,
1.27,need_push_lingq,mp3,yes,yes,,
1.28,need_push_lingq,mp3,yes,yes,,
1.29,need_push_lingq,mp3,yes,yes,,
1.3,need_push_lingq,mp3,yes,yes,,
1.30,need_push_lingq,mp3,yes,yes,,
1.31,need_push_lingq,mp3,yes,yes,,
1.32,need_push_lingq,mp3,yes,yes,,
1.33,need_push_lingq,mp3,yes,yes,,
1.34,need_push_lingq,mp3,yes,yes,,
1.35,need_push_lingq,mp3,yes,yes,,
1.36,need_push_lingq,mp3,yes,yes,,
1.37,need_push_lingq,mp3,yes,yes,,
1.38,need_push_lingq,mp3,yes,yes,,
1.39,need_push_lingq,mp3,yes,yes,,
1.4,need_push_lingq,mp3,yes,yes,,
1.40,need_push_lingq,mp3,yes,yes,,
